    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
  113,     347,  5.1722,  0.1943, 1.871, 1.870
  114,     350,  5.1732,  0.1637, 1.873, 1.873
  115,     353,  5.1793,  0.2477, 1.872, 1.869
  116,     356,  5.1810,  0.0933, 1.860, 1.860
  117,     359,  5.1790,  0.1190, 1.863, 1.863
  118,     362,  5.1798,  0.1044, 1.860, 1.860
  119,     365,  5.1795,  0.1042, 1.861, 1.860
  120,     368,  5.1805,  0.1044, 1.861, 1.861
  121,     371,  5.1810,  0.1044, 1.861, 1.861
  122,     374,  5.1798,  0.1044, 1.861, 1.861
  123,     377,  5.1798,  0.1044, 1.861, 1.861
  124,     380,  5.1803,  0.1050, 1.861, 1.861
  125,     383,  5.1805,  0.1044, 1.861, 1.860
  126,     386,  5.1800,  0.1044, 1.861, 1.860
  127,     389,  5.1795,  0.1042, 1.861, 1.860
  128,     392,  5.1798,  0.1051, 1.868, 1.867
  129,     395,  5.1805,  0.1048, 1.858, 1.858
  130,     398,  5.1803,  0.1040, 1.858, 1.858
  131,     401,  5.1803,  0.1042, 1.858, 1.858
  132,     404,  5.1787,  0.1040, 1.857, 1.857
  133,     407,  5.1803,  0.1040, 1.858, 1.857
  134,     410,  5.1793,  0.1040, 1.857, 1.857
  135,     413,  5.1800,  0.1042, 1.858, 1.857
  136,     416,  5.1798,  0.1042, 1.857, 1.857
  137,     419,  5.1785,  0.1040, 1.858, 1.858
  138,     422,  5.1803,  0.1040, 1.858, 1.857
  139,     425,  5.1785,  0.1040, 1.858, 1.858
  140,     428,  5.1798,  0.1040, 1.858, 1.858
  141,     431,  5.1828,  0.1040, 1.858, 1.857
  142,     434,  5.1805,  0.1040, 1.858, 1.857
  143,     437,  5.1810,  0.1040, 1.858, 1.858
  144,     440,  5.1805,  0.1040, 1.859, 1.858
  145,     443,  5.1808,  0.1040, 1.858, 1.858
  146,     446,  5.1795,  0.1040, 1.857, 1.858
  147,     449,  5.1793,  0.1040, 1.858, 1.858
  148,     452,  5.1795,  0.1042, 1.858, 1.857
  149,     455,  5.1795,  0.1040, 1.858, 1.858
  150,     458,  5.1808,  0.1040, 1.858, 1.858
  151,     461,  5.1800,  0.1040, 1.858, 1.858
  152,     464,  5.1803,  0.1040, 1.858, 1.858
  153,     467,  5.1803,  0.1040, 1.858, 1.857
  154,     470,  5.1803,  0.1040, 1.858, 1.858
  155,     473,  5.1808,  0.1042, 1.859, 1.858
  156,     476,  5.1808,  0.1040, 1.858, 1.858
  157,     479,  5.1805,  0.1040, 1.858, 1.857
  158,     482,  5.1805,  0.1040, 1.858, 1.858
  159,     485,  5.1800,  0.1040, 1.858, 1.858
  160,     488,  5.1805,  0.1040, 1.858, 1.857
  161,     491,  5.1800,  0.1040, 1.858, 1.857
  162,     494,  5.1805,  0.1040, 1.858, 1.858
  163,     497,  5.1803,  0.1040, 1.858, 1.857
  164,     500,  5.1782,  0.1040, 1.858, 1.857
  165,     503,  5.1795,  0.1040, 1.857, 1.857
  166,     506,  5.1808,  0.1042, 1.858, 1.858
  167,     509,  5.1805,  0.1040, 1.858, 1.858
  168,     512,  5.1805,  0.1042, 1.857, 1.857
  169,     515,  5.1805,  0.1042, 1.858, 1.858
  170,     518,  5.1823,  0.1040, 1.858, 1.858
  171,     521,  5.1808,  0.1046, 1.858, 1.857
  172,     524,  5.1810,  0.1040, 1.858, 1.858
  173,     527,  5.1795,  0.1040, 1.858, 1.858
  174,     530,  5.1798,  0.1040, 1.858, 1.858
  175,     533,  5.1813,  0.1040, 1.859, 1.858
  176,     536,  5.1805,  0.1045, 1.858, 1.858
  177,     539,  5.1798,  0.1040, 1.857, 1.858
  178,     542,  5.1805,  0.1040, 1.858, 1.858
  179,     545,  5.1805,  0.1040, 1.858, 1.858
  180,     548,  5.1803,  0.1040, 1.858, 1.857
  181,     551,  5.1808,  0.1040, 1.858, 1.858
  182,     554,  5.1805,  0.1040, 1.858, 1.858
  183,     557,  5.1810,  0.1040, 1.858, 1.858
  184,     560,  5.1805,  0.1040, 1.858, 1.858
  185,     563,  5.1808,  0.1040, 1.858, 1.858
  186,     566,  5.1805,  0.1040, 1.857, 1.857
  187,     569,  5.1803,  0.1040, 1.858, 1.857
  188,     572,  5.1805,  0.1040, 1.858, 1.858
  189,     575,  5.1803,  0.1042, 1.858, 1.857
  190,     578,  5.1793,  0.1040, 1.858, 1.857
  191,     581,  5.1777,  0.1040, 1.857, 1.857
  192,     584,  5.1800,  0.1040, 1.858, 1.857
  193,     587,  5.1803,  0.1040, 1.857, 1.857
  194,     590,  5.1800,  0.1040, 1.857, 1.857
  195,     593,  5.1808,  0.1040, 1.858, 1.857
  196,     596,  5.1800,  0.1042, 1.858, 1.857
  197,     599,  5.1805,  0.1040, 1.857, 1.857
  198,     602,  5.1798,  0.1040, 1.857, 1.857
  199,     605,  5.1818,  0.1040, 1.858, 1.858
  200,     608,  5.1805,  0.1040, 1.858, 1.858
  201,     611,  5.1808,  0.1040, 1.858, 1.858
  202,     614,  5.1800,  0.1042, 1.858, 1.857
  203,     617,  5.1798,  0.1040, 1.858, 1.857
  204,     620,  5.1805,  0.1040, 1.858, 1.858
  205,     623,  5.1798,  0.1040, 1.858, 1.858
  206,     626,  5.1803,  0.1040, 1.858, 1.857
  207,     629,  5.1790,  0.1040, 1.858, 1.856
  208,     632,  5.1798,  0.1039, 1.858, 1.857
  209,     635,  5.1798,  0.1042, 1.858, 1.857
  210,     638,  5.1803,  0.1042, 1.858, 1.857
